index_code,arm,epoch_length,graph_type,n_train_windows,n_test_windows,pca_dims,oov_rate_train_mean,oov_rate_test_mean,kmeans_crisis_mu,kmeans_n_train_clusters_used,kmeans_train_point_precision,kmeans_train_point_recall,kmeans_train_point_f1,kmeans_test_point_precision,kmeans_test_point_recall,kmeans_test_point_f1,kmeans_regime_persistence_gap,kmeans_regimes_absent_test,hmm_crisis_mu,hmm_n_train_clusters_used,hmm_dwell_calm,hmm_dwell_transitional,hmm_dwell_crisis,hmm_train_point_precision,hmm_train_point_recall,hmm_train_point_f1,hmm_test_point_precision,hmm_test_point_recall,hmm_test_point_f1,hmm_regime_persistence_gap,hmm_regimes_absent_test
FTSE350,raw,63,tmfg,954,330,101,0.6686889363553657,0.6906803887935964,0.3647214306557863,3,,,,,,,0.03763358884429916,0,0.4322040343410508,3,35.779526669401186,7.226733702118578,10.199671914010747,,,,,,,0.2581118597348143,0
FTSE350,raw,132,threshold,470,165,41,0.18279138230964803,0.2825805222031637,0.3516841593473356,3,,,,,,,0.10804924513294378,0,0.3383523600705895,3,13.952564422126914,12.614349551086754,18.710614830096468,,,,,,,0.35322767134637073,0
FTSE350,raw,132,mst,470,165,88,0.43674227217984746,0.5236134934248141,0.34474005152827786,3,,,,,,,0.06677035887562204,0,0.35515285107493677,3,16.175993115909538,12.826191109331605,13.119479229093704,,,,,,,0.07469232224858009,0
FTSE350,raw,132,tmfg,470,165,84,0.6857821490699854,0.7053649704593101,0.34740834404968474,3,,,,,,,0.07197112167679921,0,0.3776311008510576,3,58.46107008769942,6.4805672207141765,5.5247818270967075,,,,,,,0.30410419668074784,0
FTSE350,raw,378,threshold,203,75,23,0.1448554698392044,0.26540880503144654,0.3128180502709481,3,,,,,,,0.14328370554177006,0,0.3215747695004264,3,15.393604955988726,7.835093786938308,16.508674681642137,,,,,,,0.359663177670424,0
FTSE350,raw,378,mst,203,75,80,0.41625615763546797,0.5479454926624738,0.29012225614762044,3,,,,,,,0.22286513898930538,0,0.32013780185094703,3,10.792008501580474,9.681306199180039,13.954417837504703,,,,,,,0.17599346076458755,1
FTSE350,raw,378,tmfg,203,75,50,0.709065278681414,0.7257442348008386,0.30637684715891855,3,,,,,,,0.10808630779313083,0,0.3471076542854825,3,12.42562677683856,7.690569737009097,9.995900306411881,,,,,,,0.3369047619047619,1
CSI300,raw,63,threshold,909,316,31,0.25903006967363407,0.15064609704641352,0.5477738700990108,3,,,,,,,0.0427240495436925,0,0.4666622154039574,3,4.255894184347446,4.352806901404474,4.90893867202504,,,,,,,0.3309862751127767,0
CSI300,raw,63,mst,909,316,63,0.4490740740740741,0.37436269338959216,0.5697202524136092,3,,,,,,,0.07921192823345764,0,0.5724539616941494,3,14.9328983948382,3.656748780396468,11.048837831361618,,,,,,,0.3763159560392871,0
CSI300,raw,63,tmfg,909,316,65,0.6676827404962719,0.6588212025316456,0.5835189932167791,3,,,,,,,0.10435257994081526,0,0.5864970859031212,3,10.439513640187661,2.394705385151131,8.742179657155521,,,,,,,0.11066616287624348,1
CSI300,raw,132,threshold,448,158,19,0.1962890625,0.10544127988748242,0.5650755640031495,3,,,,,,,0.1538265899836797,0,0.474987773444482,3,8.478700683313766,4.351660566943903,6.693545326363189,,,,,,,0.5791532656026687,0
CSI300,raw,132,mst,448,158,54,0.4355003720238095,0.3765822784810127,0.5498230233036128,3,,,,,,,0.1054348501389016,0,0.5854150295877951,3,31.12243385892636,3.430333425566958,14.259938523067747,,,,,,,0.032163742690058506,2
CSI300,raw,132,tmfg,448,158,53,0.6841672867063492,0.6749736286919832,0.6195944873081759,3,,,,,,,0.4633947228879765,1,0.5552355966565319,3,2.2409832995996886,1.9285648477430068,11.727983104275236,,,,,,,0.45862662630955314,1
CSI300,raw,378,threshold,193,72,10,0.13593839953943582,0.07716049382716049,0.5304707642437823,3,,,,,,,0.31853668245594235,0,0.4408667024692328,3,13.250216615084248,5.606019182380732,7.063461844853743,,,,,,,0.3430444407777136,1
CSI300,raw,378,mst,193,72,37,0.4316350028785262,0.4048996913580247,0.5203979587331742,3,,,,,,,0.11553149068964502,1,0.5323834779900168,3,3.67314153031302,1.9219615373311336,8.557030109671038,,,,,,,0.7027897478497135,0
CSI300,raw,378,tmfg,193,72,65,0.703223949337939,0.699363425925926,0.4962988922800177,3,,,,,,,0.20539925191087985,0,0.521615410160136,3,4.141491081941092,2.071798887885259,8.37359807276957,,,,,,,0.2409120345927387,0
